features_v2_waterbirds_dinov2_test.npz: phi (5794, 768), eps 0.5000, cells {'y=-1,g=0': 2255, 'y=-1,g=1': 2255, 'y=1,g=0': 642, 'y=1,g=1': 642}, standardized_with=train statistics, train_mode=erm, std stats stored=True, finite=True
features_v2_waterbirds_dinov2_train.npz: phi (4795, 768), eps 0.0501, cells {'y=-1,g=0': 3498, 'y=-1,g=1': 184, 'y=1,g=0': 1057, 'y=1,g=1': 56}, standardized_with=train statistics, train_mode=erm, std stats stored=True, finite=True
features_v2_waterbirds_dinov2_val.npz: phi (1199, 768), eps 0.4996, cells {'y=-1,g=0': 467, 'y=-1,g=1': 466, 'y=1,g=0': 133, 'y=1,g=1': 133}, standardized_with=train statistics, train_mode=erm, std stats stored=True, finite=True
features_v2_waterbirds_erm_rn50_test.npz: phi (5794, 2048), eps 0.5000, cells {'y=-1,g=0': 2255, 'y=-1,g=1': 2255, 'y=1,g=0': 642, 'y=1,g=1': 642}, standardized_with=train statistics, train_mode=erm, std stats stored=True, finite=True
features_v2_waterbirds_erm_rn50_train.npz: phi (4795, 2048), eps 0.0501, cells {'y=-1,g=0': 3498, 'y=-1,g=1': 184, 'y=1,g=0': 1057, 'y=1,g=1': 56}, standardized_with=train statistics, train_mode=erm, std stats stored=True, finite=True
features_v2_waterbirds_erm_rn50_val.npz: phi (1199, 2048), eps 0.4996, cells {'y=-1,g=0': 467, 'y=-1,g=1': 466, 'y=1,g=0': 133, 'y=1,g=1': 133}, standardized_with=train statistics, train_mode=erm, std stats stored=True, finite=True
features_v2_waterbirds_gdro_rn50_test.npz: phi (5794, 2048), eps 0.5000, cells {'y=-1,g=0': 2255, 'y=-1,g=1': 2255, 'y=1,g=0': 642, 'y=1,g=1': 642}, standardized_with=train statistics, train_mode=gdro, std stats stored=True, finite=True
features_v2_waterbirds_gdro_rn50_train.npz: phi (4795, 2048), eps 0.0501, cells {'y=-1,g=0': 3498, 'y=-1,g=1': 184, 'y=1,g=0': 1057, 'y=1,g=1': 56}, standardized_with=train statistics, train_mode=gdro, std stats stored=True, finite=True
features_v2_waterbirds_gdro_rn50_val.npz: phi (1199, 2048), eps 0.4996, cells {'y=-1,g=0': 467, 'y=-1,g=1': 466, 'y=1,g=0': 133, 'y=1,g=1': 133}, standardized_with=train statistics, train_mode=gdro, std stats stored=True, finite=True
features_v2_waterbirds_rwg_rn50_test.npz: phi (5794, 2048), eps 0.5000, cells {'y=-1,g=0': 2255, 'y=-1,g=1': 2255, 'y=1,g=0': 642, 'y=1,g=1': 642}, standardized_with=train statistics, train_mode=rwg, std stats stored=True, finite=True
features_v2_waterbirds_rwg_rn50_train.npz: phi (4795, 2048), eps 0.0501, cells {'y=-1,g=0': 3498, 'y=-1,g=1': 184, 'y=1,g=0': 1057, 'y=1,g=1': 56}, standardized_with=train statistics, train_mode=rwg, std stats stored=True, finite=True
features_v2_waterbirds_rwg_rn50_val.npz: phi (1199, 2048), eps 0.4996, cells {'y=-1,g=0': 467, 'y=-1,g=1': 466, 'y=1,g=0': 133, 'y=1,g=1': 133}, standardized_with=train statistics, train_mode=rwg, std stats stored=True, finite=True
